getter,peers,micros,payload,rcv_flag,delay
1,32,0,32,0,506
1,32,0,32,0,502
1,32,0,32,0,531
1,32,0,32,0,532
1,32,0,32,0,712
1,32,0,32,0,582
1,32,0,32,0,556
1,32,0,32,0,498
1,32,0,32,0,590
1,32,0,32,0,476
1,32,0,32,0,495
1,32,0,32,0,508
1,32,0,32,0,501
1,32,0,32,0,478
1,32,0,32,0,476
1,32,0,32,0,517
1,32,0,32,0,533
1,32,0,32,0,533
1,32,0,32,0,497
1,32,0,32,0,527
1,32,0,32,0,492
1,32,0,32,0,503
1,32,0,32,0,515
1,32,0,32,0,504
1,32,0,32,0,492
1,32,0,32,0,552
1,32,0,32,0,504
1,32,0,32,0,561
1,32,0,32,0,8564
1,32,0,32,0,584
1,32,0,32,0,543
1,32,0,32,0,506
1,32,0,32,0,508
1,32,0,32,0,503
1,32,0,32,0,519
1,32,0,32,0,540
1,32,0,32,0,505
1,32,0,32,0,506
1,32,0,32,0,464
1,32,0,32,0,543
1,32,0,32,0,535
1,32,0,32,0,510
1,32,0,32,0,498
1,32,0,32,0,508
1,32,0,32,0,489
1,32,0,32,0,511
1,32,0,32,0,497
1,32,0,32,0,592
1,32,0,32,0,508
1,32,0,32,0,520
1,32,0,32,0,541
1,32,0,32,0,534
1,32,0,32,0,499
1,32,0,32,0,509
1,32,0,32,0,524
1,32,0,32,0,508
1,32,0,32,0,554
1,32,0,32,0,497
1,32,0,32,0,595
1,32,0,32,0,511
1,32,0,32,0,507
1,32,0,32,0,505
1,32,0,32,0,516
1,32,0,32,0,557
1,32,0,32,0,498
1,32,0,32,0,513
1,32,0,32,0,464
1,32,0,32,0,515
1,32,0,32,0,589
1,32,0,32,0,514
1,32,0,32,0,563
1,32,0,32,0,575
1,32,0,32,0,536
1,32,0,32,0,494
1,32,0,32,0,478
1,32,0,32,0,465
1,32,0,32,0,464
1,32,0,32,0,555
1,32,0,32,0,495
1,32,0,32,0,510
1,32,0,32,0,557
1,32,0,32,0,520
1,32,0,32,0,525
1,32,0,32,0,515
1,32,0,32,0,456
1,32,0,32,0,529
1,32,0,32,0,556
1,32,0,32,0,516
1,32,0,32,0,564
1,32,0,32,0,561
1,32,0,32,0,515
1,32,0,32,0,568
1,32,0,32,0,494
1,32,0,32,0,509
1,32,0,32,0,578
1,32,0,32,0,534
1,32,0,32,0,529
1,32,0,32,0,518
1,32,0,32,0,491
1,32,0,32,0,503
1,32,0,32,0,506
1,32,0,32,0,506
1,32,0,32,0,518
1,32,0,32,0,458
1,32,0,32,0,490
1,32,0,32,0,494
1,32,0,32,0,515
1,32,0,32,0,575
1,32,0,32,0,519
1,32,0,32,0,585
1,32,0,32,0,486
1,32,0,32,0,509
1,32,0,32,0,503
1,32,0,32,0,469
1,32,0,32,0,502
1,32,0,32,0,540
1,32,0,32,0,549
1,32,0,32,0,515
1,32,0,32,0,575
1,32,0,32,0,522
1,32,0,32,0,514
1,32,0,32,0,512
1,32,0,32,0,566
1,32,0,32,0,553
1,32,0,32,0,467
1,32,0,32,0,481
1,32,0,32,0,511
1,32,0,32,0,480
1,32,0,32,0,491
1,32,0,32,0,530
1,32,0,32,0,497
1,32,0,32,0,497
1,32,0,32,0,544
1,32,0,32,0,518
1,32,0,32,0,514
1,32,0,32,0,535
1,32,0,32,0,598
1,32,0,32,0,499
1,32,0,32,0,497
1,32,0,32,0,519
1,32,0,32,0,539
1,32,0,32,0,522
1,32,0,32,0,546
1,32,0,32,0,532
1,32,0,32,0,498
1,32,0,32,0,470
1,32,0,32,0,542
1,32,0,32,0,493
1,32,0,32,0,473
1,32,0,32,0,522
1,32,0,32,0,511
1,32,0,32,0,506
1,32,0,32,0,582
1,32,0,32,0,514
1,32,0,32,0,568
1,32,0,32,0,505
1,32,0,32,0,532
1,32,0,32,0,531
1,32,0,32,0,474
1,32,0,32,0,451
1,32,0,32,0,506
1,32,0,32,0,495
1,32,0,32,0,545
1,32,0,32,0,532
1,32,0,32,0,479
1,32,0,32,0,481
1,32,0,32,0,540
1,32,0,32,0,564
1,32,0,32,0,549
1,32,0,32,0,539
1,32,0,32,0,504
1,32,0,32,0,560
1,32,0,32,0,537
1,32,0,32,0,486
1,32,0,32,0,472
1,32,0,32,0,521
1,32,0,32,0,553
1,32,0,32,0,555
1,32,0,32,0,489
1,32,0,32,0,507
1,32,0,32,0,523
1,32,0,32,0,566
1,32,0,32,0,492
1,32,0,32,0,514
1,32,0,32,0,481
1,32,0,32,0,554
1,32,0,32,0,532
1,32,0,32,0,517
1,32,0,32,0,567
1,32,0,32,0,579
1,32,0,32,0,542
1,32,0,32,0,530
1,32,0,32,0,508
1,32,0,32,0,464
1,32,0,32,0,476
1,32,0,32,0,502
1,32,0,32,0,527
1,32,0,32,0,495
1,32,0,32,0,524
1,32,0,32,0,499
1,32,0,32,0,534
1,32,0,32,0,490
1,32,0,32,0,500
1,32,0,32,0,509
1,32,0,32,0,482
1,32,0,32,0,489
1,32,0,32,0,526
1,32,0,32,0,518
1,32,0,32,0,538
1,32,0,32,0,518
1,32,0,32,0,513
1,32,0,32,0,478
1,32,0,32,0,561
1,32,0,32,0,537
1,32,0,32,0,499
1,32,0,32,0,503
1,32,0,32,0,527
1,32,0,32,0,527
1,32,0,32,0,551
1,32,0,32,0,542
1,32,0,32,0,536
1,32,0,32,0,669
1,32,0,32,0,604
1,32,0,32,0,504
1,32,0,32,0,483
1,32,0,32,0,514
1,32,0,32,0,504
1,32,0,32,0,482
1,32,0,32,0,513
1,32,0,32,0,529
1,32,0,32,0,485
1,32,0,32,0,475
1,32,0,32,0,522
1,32,0,32,0,517
1,32,0,32,0,474
1,32,0,32,0,491
1,32,0,32,0,610
1,32,0,32,0,576
1,32,0,32,0,506
1,32,0,32,0,537
1,32,0,32,0,510
1,32,0,32,0,521
1,32,0,32,0,489
1,32,0,32,0,499
1,32,0,32,0,594
1,32,0,32,0,521
1,32,0,32,0,489
1,32,0,32,0,512
1,32,0,32,0,513
1,32,0,32,0,508
1,32,0,32,0,487
1,32,0,32,0,496
1,32,0,32,0,510
1,32,0,32,0,533
1,32,0,32,0,496
1,32,0,32,0,525
1,32,0,32,0,516
1,32,0,32,0,510
1,32,0,32,0,561
1,32,0,32,0,538
1,32,0,32,0,539
1,32,0,32,0,508
1,32,0,32,0,531
1,32,0,32,0,487
1,32,0,32,0,552
1,32,0,32,0,535
1,32,0,32,0,484
1,32,0,32,0,543
1,32,0,32,0,547
1,32,0,32,0,469
1,32,0,32,0,591
1,32,0,32,0,543
1,32,0,32,0,476
1,32,0,32,0,479
1,32,0,32,0,590
1,32,0,32,0,569
1,32,0,32,0,521
1,32,0,32,0,561
1,32,0,32,0,479
1,32,0,32,0,509
1,32,0,32,0,449
1,32,0,32,0,499
1,32,0,32,0,518
1,32,0,32,0,512
1,32,0,32,0,548
1,32,0,32,0,544
1,32,0,32,0,527
1,32,0,32,0,566
1,32,0,32,0,600
1,32,0,32,0,540
1,32,0,32,0,533
1,32,0,32,0,588
1,32,0,32,0,605
1,32,0,32,0,484
1,32,0,32,0,576
1,32,0,32,0,488
1,32,0,32,0,489
1,32,0,32,0,499
1,32,0,32,0,484
1,32,0,32,0,501
1,32,0,32,0,486
1,32,0,32,0,481
1,32,0,32,0,495
1,32,0,32,0,520
1,32,0,32,0,512
1,32,0,32,0,543
1,32,0,32,0,506
1,32,0,32,0,525
1,32,0,32,0,593
1,32,0,32,0,507
1,32,0,32,0,544
1,32,0,32,0,488
1,32,0,32,0,534
1,32,0,32,0,509
1,32,0,32,0,521
1,32,0,32,0,506
1,32,0,32,0,554
1,32,0,32,0,501
1,32,0,32,0,583
1,32,0,32,0,568
1,32,0,32,0,511
1,32,0,32,0,531
1,32,0,32,0,555
1,32,0,32,0,628
1,32,0,32,0,517
1,32,0,32,0,555
1,32,0,32,0,586
1,32,0,32,0,484
1,32,0,32,0,482
1,32,0,32,0,468
1,32,0,32,0,517
1,32,0,32,0,530
1,32,0,32,0,485
1,32,0,32,0,488
1,32,0,32,0,544
1,32,0,32,0,547
1,32,0,32,0,467
1,32,0,32,0,517
1,32,0,32,0,518
1,32,0,32,0,521
1,32,0,32,0,486
1,32,0,32,0,483
1,32,0,32,0,547
1,32,0,32,0,564
1,32,0,32,0,528
1,32,0,32,0,583
1,32,0,32,0,530
1,32,0,32,0,641
1,32,0,32,0,580
1,32,0,32,0,473
1,32,0,32,0,571
1,32,0,32,0,522
1,32,0,32,0,498
1,32,0,32,0,456
1,32,0,32,0,619
1,32,0,32,0,527
1,32,0,32,0,488
1,32,0,32,0,448
1,32,0,32,0,539
1,32,0,32,0,578
1,32,0,32,0,585
1,32,0,32,0,534
1,32,0,32,0,599
1,32,0,32,0,514
1,32,0,32,0,545
1,32,0,32,0,595
1,32,0,32,0,471
1,32,0,32,0,492
1,32,0,32,0,511
1,32,0,32,0,487
1,32,0,32,0,492
1,32,0,32,0,507
1,32,0,32,0,513
1,32,0,32,0,468
1,32,0,32,0,523
1,32,0,32,0,475
1,32,0,32,0,529
1,32,0,32,0,538
1,32,0,32,0,460
1,32,0,32,0,570
1,32,0,32,0,549
1,32,0,32,0,553
1,32,0,32,0,525
1,32,0,32,0,544
1,32,0,32,0,548
1,32,0,32,0,499
1,32,0,32,0,505
1,32,0,32,0,521
1,32,0,32,0,555
1,32,0,32,0,537
1,32,0,32,0,586
1,32,0,32,0,507
1,32,0,32,0,508
1,32,0,32,0,538
1,32,0,32,0,502
1,32,0,32,0,597
1,32,0,32,0,532
1,32,0,32,0,551
1,32,0,32,0,516
1,32,0,32,0,523
1,32,0,32,0,519
1,32,0,32,0,507
1,32,0,32,0,497
1,32,0,32,0,521
1,32,0,32,0,517
1,32,0,32,0,527
1,32,0,32,0,555
1,32,0,32,0,524
1,32,0,32,0,546
1,32,0,32,0,547
1,32,0,32,0,573
1,32,0,32,0,499
1,32,0,32,0,516
1,32,0,32,0,469
1,32,0,32,0,510
1,32,0,32,0,472
1,32,0,32,0,525
1,32,0,32,0,511
1,32,0,32,0,498
1,32,0,32,0,584
1,32,0,32,0,530
1,32,0,32,0,540
1,32,0,32,0,593
1,32,0,32,0,506
1,32,0,32,0,520
1,32,0,32,0,544
1,32,0,32,0,542
1,32,0,32,0,553
1,32,0,32,0,2417
1,32,0,32,0,578
1,32,0,32,0,526
1,32,0,32,0,498
1,32,0,32,0,554
1,32,0,32,0,475
1,32,0,32,0,466
1,32,0,32,0,515
1,32,0,32,0,569
1,32,0,32,0,563
1,32,0,32,0,528
1,32,0,32,0,542
1,32,0,32,0,549
1,32,0,32,0,549
1,32,0,32,0,535
1,32,0,32,0,581
1,32,0,32,0,570
1,32,0,32,0,526
1,32,0,32,0,493
1,32,0,32,0,630
1,32,0,32,0,602
1,32,0,32,0,551
1,32,0,32,0,559
1,32,0,32,0,517
1,32,0,32,0,514
1,32,0,32,0,505
1,32,0,32,0,536
1,32,0,32,0,539
1,32,0,32,0,513
1,32,0,32,0,570
1,32,0,32,0,518
1,32,0,32,0,524
1,32,0,32,0,536
1,32,0,32,0,525
1,32,0,32,0,582
1,32,0,32,0,509
1,32,0,32,0,597
1,32,0,32,0,568
1,32,0,32,0,567
1,32,0,32,0,561
1,32,0,32,0,538
1,32,0,32,0,567
1,32,0,32,0,551
1,32,0,32,0,504
1,32,0,32,0,487
1,32,0,32,0,496
1,32,0,32,0,518
1,32,0,32,0,554
1,32,0,32,0,561
1,32,0,32,0,517
1,32,0,32,0,516
1,32,0,32,0,622
1,32,0,32,0,529
1,32,0,32,0,495
1,32,0,32,0,510
1,32,0,32,0,535
1,32,0,32,0,555
1,32,0,32,0,546
1,32,0,32,0,492
1,32,0,32,0,522
1,32,0,32,0,531
1,32,0,32,0,493
1,32,0,32,0,592
1,32,0,32,0,548
1,32,0,32,0,545
1,32,0,32,0,545
1,32,0,32,0,515
1,32,0,32,0,555
1,32,0,32,0,543
1,32,0,32,0,553
1,32,0,32,0,537
1,32,0,32,0,531
1,32,0,32,0,580
1,32,0,32,0,559
1,32,0,32,0,606
1,32,0,32,0,591
1,32,0,32,0,567
1,32,0,32,0,508
1,32,0,32,0,541
1,32,0,32,0,545
1,32,0,32,0,502
1,32,0,32,0,566
1,32,0,32,0,508
1,32,0,32,0,562
1,32,0,32,0,504
1,32,0,32,0,539
1,32,0,32,0,628
1,32,0,32,0,512
1,32,0,32,0,542
1,32,0,32,0,528
1,32,0,32,0,575
1,32,0,32,0,537
1,32,0,32,0,547
1,32,0,32,0,545
1,32,0,32,0,540
1,32,0,32,0,570
1,32,0,32,0,489
1,32,0,32,0,593
1,32,0,32,0,558
1,32,0,32,0,630
1,32,0,32,0,596
1,32,0,32,0,610
1,32,0,32,0,553
1,32,0,32,0,540
1,32,0,32,0,497
1,32,0,32,0,548
1,32,0,32,0,494
1,32,0,32,0,482
1,32,0,32,0,472
1,32,0,32,0,525
1,32,0,32,0,549
1,32,0,32,0,568
1,32,0,32,0,493
1,32,0,32,0,543
1,32,0,32,0,545
1,32,0,32,0,493
1,32,0,32,0,602
1,32,0,32,0,524
1,32,0,32,0,497
1,32,0,32,0,499
1,32,0,32,0,522
1,32,0,32,0,522
1,32,0,32,0,525
1,32,0,32,0,536
1,32,0,32,0,530
1,32,0,32,0,479
1,32,0,32,0,524
1,32,0,32,0,558
1,32,0,32,0,521
1,32,0,32,0,545
1,32,0,32,0,481
1,32,0,32,0,528
1,32,0,32,0,607
1,32,0,32,0,591
1,32,0,32,0,493
1,32,0,32,0,548
1,32,0,32,0,666
1,32,0,32,0,535
1,32,0,32,0,528
1,32,0,32,0,500
1,32,0,32,0,505
1,32,0,32,0,497
1,32,0,32,0,519
1,32,0,32,0,502
1,32,0,32,0,540
1,32,0,32,0,555
1,32,0,32,0,491
1,32,0,32,0,563
1,32,0,32,0,540
1,32,0,32,0,614
1,32,0,32,0,597
1,32,0,32,0,545
1,32,0,32,0,495
1,32,0,32,0,501
1,32,0,32,0,469
1,32,0,32,0,499
1,32,0,32,0,450
1,32,0,32,0,519
1,32,0,32,0,555
1,32,0,32,0,560
1,32,0,32,0,547
1,32,0,32,0,562
1,32,0,32,0,611
1,32,0,32,0,490
1,32,0,32,0,492
1,32,0,32,0,480
1,32,0,32,0,538
1,32,0,32,0,508
1,32,0,32,0,491
1,32,0,32,0,461
1,32,0,32,0,534
1,32,0,32,0,535
1,32,0,32,0,509
1,32,0,32,0,473
1,32,0,32,0,544
1,32,0,32,0,529
1,32,0,32,0,594
1,32,0,32,0,509
1,32,0,32,0,482
1,32,0,32,0,520
1,32,0,32,0,580
1,32,0,32,0,533
1,32,0,32,0,517
1,32,0,32,0,502
1,32,0,32,0,519
1,32,0,32,0,532
1,32,0,32,0,511
1,32,0,32,0,560
1,32,0,32,0,585
1,32,0,32,0,531
1,32,0,32,0,606
1,32,0,32,0,536
1,32,0,32,0,502
1,32,0,32,0,508
1,32,0,32,0,661
1,32,0,32,0,556
1,32,0,32,0,524
1,32,0,32,0,570
1,32,0,32,0,602
1,32,0,32,0,484
1,32,0,32,0,516
1,32,0,32,0,498
1,32,0,32,0,508
1,32,0,32,0,546
1,32,0,32,0,535
1,32,0,32,0,518
1,32,0,32,0,564
1,32,0,32,0,524
1,32,0,32,0,658
1,32,0,32,0,535
1,32,0,32,0,506
1,32,0,32,0,525
1,32,0,32,0,516
1,32,0,32,0,495
1,32,0,32,0,556
1,32,0,32,0,538
1,32,0,32,0,493
1,32,0,32,0,585
1,32,0,32,0,572
1,32,0,32,0,511
1,32,0,32,0,524
1,32,0,32,0,502
1,32,0,32,0,538
1,32,0,32,0,483
1,32,0,32,0,512
1,32,0,32,0,511
1,32,0,32,0,507
1,32,0,32,0,572
1,32,0,32,0,624
1,32,0,32,0,575
1,32,0,32,0,583
1,32,0,32,0,535
1,32,0,32,0,544
1,32,0,32,0,599
1,32,0,32,0,567
1,32,0,32,0,598
1,32,0,32,0,522
1,32,0,32,0,510
1,32,0,32,0,542
1,32,0,32,0,555
1,32,0,32,0,607
1,32,0,32,0,522
1,32,0,32,0,535
1,32,0,32,0,531
1,32,0,32,0,538
1,32,0,32,0,500
1,32,0,32,0,512
1,32,0,32,0,486
1,32,0,32,0,543
1,32,0,32,0,577
1,32,0,32,0,508
1,32,0,32,0,546
1,32,0,32,0,494
1,32,0,32,0,572
1,32,0,32,0,462
1,32,0,32,0,536
1,32,0,32,0,525
1,32,0,32,0,653
1,32,0,32,0,525
1,32,0,32,0,579
1,32,0,32,0,495
1,32,0,32,0,534
1,32,0,32,0,473
1,32,0,32,0,540
1,32,0,32,0,463
1,32,0,32,0,523
1,32,0,32,0,537
1,32,0,32,0,502
1,32,0,32,0,571
1,32,0,32,0,490
1,32,0,32,0,524
1,32,0,32,0,476
1,32,0,32,0,455
1,32,0,32,0,524
1,32,0,32,0,496
1,32,0,32,0,522
1,32,0,32,0,507
1,32,0,32,0,492
1,32,0,32,0,502
1,32,0,32,0,506
1,32,0,32,0,508
1,32,0,32,0,471
1,32,0,32,0,507
1,32,0,32,0,474
1,32,0,32,0,442
1,32,0,32,0,520
1,32,0,32,0,483
1,32,0,32,0,568
1,32,0,32,0,562
1,32,0,32,0,507
1,32,0,32,0,479
1,32,0,32,0,481
1,32,0,32,0,555
1,32,0,32,0,512
1,32,0,32,0,480
1,32,0,32,0,575
1,32,0,32,0,566
1,32,0,32,0,542
1,32,0,32,0,510
1,32,0,32,0,514
1,32,0,32,0,564
1,32,0,32,0,552
1,32,0,32,0,571
1,32,0,32,0,557
1,32,0,32,0,529
1,32,0,32,0,495
1,32,0,32,0,560
1,32,0,32,0,521
1,32,0,32,0,533
1,32,0,32,0,551
1,32,0,32,0,567
1,32,0,32,0,509
1,32,0,32,0,490
1,32,0,32,0,551
1,32,0,32,0,547
1,32,0,32,0,540
1,32,0,32,0,496
1,32,0,32,0,581
1,32,0,32,0,527
1,32,0,32,0,587
1,32,0,32,0,568
1,32,0,32,0,530
1,32,0,32,0,552
1,32,0,32,0,552
1,32,0,32,0,509
1,32,0,32,0,515
1,32,0,32,0,538
1,32,0,32,0,510
1,32,0,32,0,508
1,32,0,32,0,520
1,32,0,32,0,503
1,32,0,32,0,528
1,32,0,32,0,521
1,32,0,32,0,543
1,32,0,32,0,560
1,32,0,32,0,540
1,32,0,32,0,494
1,32,0,32,0,625
1,32,0,32,0,552
1,32,0,32,0,523
1,32,0,32,0,489
1,32,0,32,0,547
1,32,0,32,0,541
1,32,0,32,0,522
1,32,0,32,0,565
1,32,0,32,0,543
1,32,0,32,0,564
1,32,0,32,0,512
1,32,0,32,0,535
1,32,0,32,0,670
1,32,0,32,0,642
1,32,0,32,0,620
1,32,0,32,0,555
1,32,0,32,0,571
1,32,0,32,0,601
1,32,0,32,0,530
1,32,0,32,0,558
1,32,0,32,0,583
1,32,0,32,0,554
1,32,0,32,0,639
1,32,0,32,0,550
1,32,0,32,0,537
1,32,0,32,0,527
1,32,0,32,0,515
1,32,0,32,0,579
1,32,0,32,0,4953
1,32,0,32,0,544
1,32,0,32,0,597
1,32,0,32,0,507
1,32,0,32,0,544
1,32,0,32,0,587
1,32,0,32,0,517
1,32,0,32,0,546
1,32,0,32,0,538
1,32,0,32,0,583
1,32,0,32,0,493
1,32,0,32,0,567
1,32,0,32,0,491
1,32,0,32,0,504
1,32,0,32,0,570
1,32,0,32,0,537
1,32,0,32,0,573
1,32,0,32,0,496
1,32,0,32,0,527
1,32,0,32,0,521
1,32,0,32,0,517
1,32,0,32,0,495
1,32,0,32,0,529
1,32,0,32,0,511
1,32,0,32,0,556
1,32,0,32,0,486
1,32,0,32,0,531
1,32,0,32,0,551
1,32,0,32,0,482
1,32,0,32,0,499
1,32,0,32,0,612
1,32,0,32,0,502
1,32,0,32,0,563
1,32,0,32,0,546
1,32,0,32,0,542
1,32,0,32,0,510
1,32,0,32,0,517
1,32,0,32,0,567
1,32,0,32,0,568
1,32,0,32,0,566
1,32,0,32,0,723
1,32,0,32,0,563
1,32,0,32,0,532
1,32,0,32,0,559
1,32,0,32,0,541
1,32,0,32,0,592
1,32,0,32,0,603
1,32,0,32,0,527
1,32,0,32,0,521
1,32,0,32,0,497
1,32,0,32,0,588
1,32,0,32,0,510
1,32,0,32,0,487
1,32,0,32,0,494
1,32,0,32,0,540
1,32,0,32,0,507
1,32,0,32,0,517
1,32,0,32,0,570
1,32,0,32,0,511
1,32,0,32,0,568
1,32,0,32,0,535
1,32,0,32,0,591
1,32,0,32,0,516
1,32,0,32,0,509
1,32,0,32,0,552
1,32,0,32,0,598
1,32,0,32,0,518
1,32,0,32,0,620
1,32,0,32,0,631
1,32,0,32,0,561
1,32,0,32,0,518
1,32,0,32,0,500
1,32,0,32,0,548
1,32,0,32,0,517
1,32,0,32,0,489
1,32,0,32,0,551
1,32,0,32,0,530
1,32,0,32,0,518
1,32,0,32,0,536
1,32,0,32,0,535
1,32,0,32,0,468
1,32,0,32,0,473
1,32,0,32,0,514
1,32,0,32,0,552
1,32,0,32,0,563
1,32,0,32,0,536
1,32,0,32,0,512
1,32,0,32,0,545
1,32,0,32,0,545
1,32,0,32,0,553
1,32,0,32,0,527
1,32,0,32,0,480
1,32,0,32,0,495
1,32,0,32,0,523
1,32,0,32,0,564
1,32,0,32,0,544
1,32,0,32,0,499
1,32,0,32,0,505
1,32,0,32,0,551
1,32,0,32,0,523
1,32,0,32,0,526
1,32,0,32,0,510
1,32,0,32,0,618
1,32,0,32,0,482
1,32,0,32,0,508
1,32,0,32,0,473
1,32,0,32,0,539
1,32,0,32,0,570
1,32,0,32,0,485
1,32,0,32,0,539
1,32,0,32,0,527
1,32,0,32,0,509
1,32,0,32,0,520
1,32,0,32,0,565
1,32,0,32,0,549
1,32,0,32,0,536
1,32,0,32,0,535
1,32,0,32,0,510
1,32,0,32,0,519
1,32,0,32,0,565
1,32,0,32,0,529
1,32,0,32,0,501
1,32,0,32,0,620
1,32,0,32,0,490
1,32,0,32,0,506
1,32,0,32,0,531
1,32,0,32,0,576
1,32,0,32,0,523
1,32,0,32,0,574
1,32,0,32,0,589
1,32,0,32,0,498
1,32,0,32,0,517
1,32,0,32,0,542
1,32,0,32,0,576
1,32,0,32,0,501
1,32,0,32,0,511
1,32,0,32,0,546
1,32,0,32,0,492
1,32,0,32,0,454
1,32,0,32,0,572
1,32,0,32,0,478
1,32,0,32,0,595
1,32,0,32,0,568
1,32,0,32,0,590
1,32,0,32,0,529
1,32,0,32,0,513
1,32,0,32,0,550
1,32,0,32,0,502
1,32,0,32,0,538
1,32,0,32,0,532
1,32,0,32,0,533
1,32,0,32,0,505
1,32,0,32,0,541
1,32,0,32,0,556
1,32,0,32,0,541
1,32,0,32,0,517
1,32,0,32,0,475
1,32,0,32,0,542
1,32,0,32,0,536
1,32,0,32,0,584
1,32,0,32,0,559
1,32,0,32,0,516
1,32,0,32,0,531
1,32,0,32,0,534
1,32,0,32,0,571
1,32,0,32,0,634
1,32,0,32,0,543
1,32,0,32,0,578
1,32,0,32,0,474
1,32,0,32,0,475
1,32,0,32,0,543
1,32,0,32,0,579
1,32,0,32,0,534
1,32,0,32,0,609
1,32,0,32,0,576
1,32,0,32,0,494
1,32,0,32,0,563
1,32,0,32,0,543
1,32,0,32,0,479
1,32,0,32,0,482
1,32,0,32,0,541
1,32,0,32,0,542
1,32,0,32,0,486
1,32,0,32,0,597
1,32,0,32,0,603
1,32,0,32,0,566
1,32,0,32,0,543
1,32,0,32,0,511
1,32,0,32,0,501
1,32,0,32,0,594
1,32,0,32,0,612
1,32,0,32,0,544
1,32,0,32,0,609
1,32,0,32,0,525
1,32,0,32,0,595
1,32,0,32,0,504
1,32,0,32,0,513
1,32,0,32,0,618
1,32,0,32,0,519
1,32,0,32,0,545
1,32,0,32,0,544
1,32,0,32,0,512
1,32,0,32,0,610
1,32,0,32,0,523
1,32,0,32,0,504
1,32,0,32,0,480
1,32,0,32,0,549
1,32,0,32,0,507
1,32,0,32,0,556
1,32,0,32,0,560
1,32,0,32,0,527
1,32,0,32,0,514
1,32,0,32,0,585
1,32,0,32,0,559
1,32,0,32,0,522
1,32,0,32,0,517
1,32,0,32,0,507
1,32,0,32,0,552
1,32,0,32,0,514
1,32,0,32,0,501
1,32,0,32,0,490
1,32,0,32,0,571
1,32,0,32,0,542
1,32,0,32,0,519
1,32,0,32,0,597
1,32,0,32,0,539
1,32,0,32,0,549
1,32,0,32,0,567
1,32,0,32,0,484
1,32,0,32,0,670
1,32,0,32,0,540
1,32,0,32,0,585
1,32,0,32,0,534
1,32,0,32,0,494
1,32,0,32,0,568
1,32,0,32,0,607
1,32,0,32,0,549
1,32,0,32,0,680
1,32,0,32,0,520
1,32,0,32,0,509
1,32,0,32,0,488
1,32,0,32,0,532
1,32,0,32,0,517
1,32,0,32,0,554
1,32,0,32,0,533
1,32,0,32,0,514
1,32,0,32,0,481
1,32,0,32,0,542
1,32,0,32,0,541
1,32,0,32,0,565
1,32,0,32,0,594
1,32,0,32,0,556
1,32,0,32,0,533
1,32,0,32,0,576
1,32,0,32,0,600
1,32,0,32,0,590
1,32,0,32,0,583
1,32,0,32,0,493
1,32,0,32,0,533
1,32,0,32,0,507
1,32,0,32,0,561
1,32,0,32,0,617
1,32,0,32,0,535
1,32,0,32,0,531
1,32,0,32,0,542
1,32,0,32,0,582
1,32,0,32,0,543
1,32,0,32,0,527
1,32,0,32,0,514
1,32,0,32,0,472
1,32,0,32,0,528
1,32,0,32,0,508
1,32,0,32,0,503
1,32,0,32,0,501
1,32,0,32,0,456
1,32,0,32,0,496
1,32,0,32,0,489
1,32,0,32,0,486
1,32,0,32,0,454
1,32,0,32,0,540
1,32,0,32,0,494
1,32,0,32,0,500
1,32,0,32,0,528
1,32,0,32,0,480
1,32,0,32,0,524
1,32,0,32,0,495
1,32,0,32,0,475
1,32,0,32,0,533
1,32,0,32,0,556
1,32,0,32,0,611
1,32,0,32,0,625
1,32,0,32,0,549
1,32,0,32,0,569
1,32,0,32,0,466
1,32,0,32,0,509
1,32,0,32,0,510
1,32,0,32,0,577
1,32,0,32,0,520
1,32,0,32,0,503
1,32,0,32,0,582
1,32,0,32,0,523
1,32,0,32,0,549
1,32,0,32,0,523
1,32,0,32,0,576
1,32,0,32,0,522
1,32,0,32,0,503
1,32,0,32,0,501
1,32,0,32,0,528
1,32,0,32,0,529
1,32,0,32,0,530
1,32,0,32,0,552
1,32,0,32,0,556
1,32,0,32,0,546
1,32,0,32,0,492
1,32,0,32,0,605
1,32,0,32,0,533
1,32,0,32,0,562
1,32,0,32,0,533
1,32,0,32,0,558
1,32,0,32,0,525
1,32,0,32,0,534
1,32,0,32,0,549
1,32,0,32,0,519
1,32,0,32,0,530
1,32,0,32,0,543
1,32,0,32,0,530
1,32,0,32,0,542
1,32,0,32,0,529
1,32,0,32,0,483
1,32,0,32,0,478
1,32,0,32,0,530
1,32,0,32,0,539
1,32,0,32,0,552
1,32,0,32,0,532
1,32,0,32,0,556
1,32,0,32,0,540
1,32,0,32,0,549
1,32,0,32,0,586
1,32,0,32,0,597
1,32,0,32,0,565
1,32,0,32,0,605
1,32,0,32,0,576
1,32,0,32,0,590
1,32,0,32,0,519
1,32,0,32,0,522
1,32,0,32,0,507
1,32,0,32,0,506
1,32,0,32,0,488
1,32,0,32,0,530
1,32,0,32,0,618
1,32,0,32,0,608
1,32,0,32,0,577
1,32,0,32,0,576
1,32,0,32,0,565
1,32,0,32,0,528
1,32,0,32,0,572
1,32,0,32,0,538
1,32,0,32,0,590
1,32,0,32,0,554
1,32,0,32,0,519
1,32,0,32,0,561
1,32,0,32,0,512
1,32,0,32,0,501
1,32,0,32,0,539
1,32,0,32,0,558
1,32,0,32,0,540
1,32,0,32,0,569
1,32,0,32,0,483
1,32,0,32,0,504
1,32,0,32,0,521
1,32,0,32,0,496
